date;Day;Month;Year;WeekNumber;DayOfWeek;DayOfYear;Sales
2013-01-01;1;1;2013;1;1;1;2511.619
2013-01-02;2;1;2013;1;2;2;496092.417999999
2013-01-03;3;1;2013;1;3;3;361429.230999999
2013-01-04;4;1;2013;1;4;4;354459.677
2013-01-05;5;1;2013;1;5;5;477350.120999999
2013-01-06;6;1;2013;1;6;6;519695.400999999
2013-01-07;7;1;2013;2;0;7;336122.801
2013-01-08;8;1;2013;2;1;8;318347.778
2013-01-09;9;1;2013;2;2;9;302530.809
2013-01-10;10;1;2013;2;3;10;258982.003
2013-01-11;11;1;2013;2;4;11;289737.685
2013-01-12;12;1;2013;2;5;12;403257.212
2013-01-13;13;1;2013;2;6;13;464638.548
2013-01-14;14;1;2013;3;0;14;293328.362
2013-01-15;15;1;2013;3;1;15;298969.549999999
2013-01-16;16;1;2013;3;2;16;318347.914
2013-01-17;17;1;2013;3;3;17;267498.516
2013-01-18;18;1;2013;3;4;18;296130.85
2013-01-19;19;1;2013;3;5;19;432459.852
2013-01-20;20;1;2013;3;6;20;461092.386
2013-01-21;21;1;2013;4;0;21;311211.266
2013-01-22;22;1;2013;4;1;22;296214.729
2013-01-23;23;1;2013;4;2;23;283258.453
2013-01-24;24;1;2013;4;3;24;247245.691
2013-01-25;25;1;2013;4;4;25;290022.772
2013-01-26;26;1;2013;4;5;26;413799.768
2013-01-27;27;1;2013;4;6;27;430411.991
2013-01-28;28;1;2013;5;0;28;285460.17
2013-01-29;29;1;2013;5;1;29;264488.818
2013-01-30;30;1;2013;5;2;30;281061.127000001
2013-01-31;31;1;2013;5;3;31;271254.217999999
2013-02-01;1;2;2013;5;4;32;369402.055
2013-02-02;2;2;2013;5;5;33;518887.463
2013-02-03;3;2;2013;5;6;34;486336.82
2013-02-04;4;2;2013;6;0;35;344308.715
2013-02-05;5;2;2013;6;1;36;321245.839000001
2013-02-06;6;2;2013;6;2;37;321538.176999999
2013-02-07;7;2;2013;6;3;38;290807.531
2013-02-08;8;2;2013;6;4;39;347441.79
2013-02-09;9;2;2013;6;5;40;416176.278999999
2013-02-10;10;2;2013;6;6;41;300951.329
2013-02-11;11;2;2013;7;0;42;278627.589
2013-02-12;12;2;2013;7;1;43;308800.791
2013-02-13;13;2;2013;7;2;44;319597.93
2013-02-14;14;2;2013;7;3;45;308164.016999999
2013-02-15;15;2;2013;7;4;46;320168.884
2013-02-16;16;2;2013;7;5;47;485660.494000001
2013-02-17;17;2;2013;7;6;48;399588.91
2013-02-18;18;2;2013;8;0;49;350745.572999999
2013-02-19;19;2;2013;8;1;50;293637.802
2013-02-20;20;2;2013;8;2;51;313803.162
2013-02-21;21;2;2013;8;3;52;267711.109
2013-02-22;22;2;2013;8;4;53;285679.869000001
2013-02-23;23;2;2013;8;5;54;412897.349000001
